x1,x2,x3,y
0.11,0.56,0.67,6.9
0.31,0.73,0.44,7.64
0.29,0.49,0.22,7.03
0.92,0.84,0.65,8.71
0.45,0.33,0.12,7.01
0.15,0.76,0.88,6.7
0.64,0.27,0.34,7.14
0.33,0.81,0.54,7.55
0.79,0.63,0.46,8.01
0.18,0.92,0.59,7.35
0.36,0.67,0.43,7.6
0.54,0.58,0.21,8.0
0.23,0.34,0.15,6.99
0.66,0.48,0.39,7.89
0.75,0.41,0.27,8.05
0.93,0.62,0.74,8.35
0.44,0.73,0.68,7.68
0.28,0.59,0.19,7.45
0.71,0.86,0.81,8.29
0.39,0.64,0.58,7.49
0.14,0.29,0.17,6.68
0.62,0.93,0.76,8.28
0.17,0.22,0.05,6.73
0.48,0.45,0.22,7.64
0.95,0.39,0.33,8.35
0.52,0.68,0.53,7.83
0.24,0.15,0.07,6.65
0.63,0.79,0.69,8.13
0.11,0.51,0.32,7.05
0.37,0.38,0.11,7.4
0.55,0.96,0.64,8.39
